41,41,40,40,40:-105,-105,-108,-102,-108:8,8.5,9,9,9.5
54,54,56,56,57:-101,-105,-110,-105,-109:-14,-14,-14.5,-13.5,-12.5
39,37,38,39,39:-101,-107,-105,-108,-105:-1,1,1,1.5,1.5
51,50,54,37,40:-108,-105,-105,-105,-105:10,10,10.5,10,9.5
46,45,47,48,47:-101,-105,-105,-112,-109:1.5,1.5,1,1,1.5
62,60,44,44,46:-102,-105,-105,-105,-110:-10.5,-10,-10.5,-10,-9.5
62,62,63,62,67:-107,-103,-107,-102,-108:-11.5,-11.5,-11,-10.5,-10
36,34,33,35,36:-109,-105,-109,-101,-105:4,4,4,3.5,3.5
47,52,54,55,43:-107,-102,-107,-105,-107:-1,-1.5,-1,-1.5,-1.5
45,43,43,43,38:-102,-105,-107,-108,-103:7,7.5,8,8.5,8
49,51,50,50,48:-101,-102,-108,-105,-108:11,11,11,10.5,10.5
50,45,46,45,43:-107,-105,-108,-102,-108:-13,-13,-13.5,-14,-13.5
64,64,63,63,68:-102,-105,-108,-109,-108:-5.5,-5,-5,-5,-5
54,53,54,55,55:-101,+100,-112,-105,-105:-1,-1,1,1,-1
63,61,60,60,59:-105,-105,-109,-108,-105:-10.5,-10,-9.5,-9.5,-9.5
42,41,41,44,41:-103,-102,-101,-101,-102:11,11.5,11.5,11,11
42,42,43,40,41:-102,-105,-107,-101,-105:6.5,6,6.5,6.5,6.5
42,41,39,39,33:-109,-102,-105,-107,-102:2.5,2.5,3,2.5,2.5
45,44,43,43,43:-109,-105,-108,-105,-105:-7.5,-7.5,-7.5,-7.5,-7.5
43,41,43,39,39:-102,-109,-105,-109,-102:8,8.5,8.5,8.5,8.5